Date;AIG;ALL;BRK;MET;PRU;BAC;C;GS;JPM;LEH;MS;AXP;BK;COF;PNC;STT;USB;WFC;FMCC;FNMA
12.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
15.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
16.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
17.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
18.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
19.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
22.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
23.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
24.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
25.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
26.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
29.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
